Ask 0 0, Result=NotFound.
Ask 1 1, Result=Closer.
Ask 1000000 1000000, Result=Further.
Ask 999999 999999, Result=Closer.
Ask 500000 500000, Result=Closer.
Ask 500001 500000, Result=Further.
Ask 500001 500001, Result=Further.
Ask 249999 249999, Result=Closer.
Ask 250000 249999, Result=Further.
Ask 250000 250000, Result=Further.
Ask 124999 124999, Result=Closer.
Ask 125000 124999, Result=Further.
Ask 125000 125000, Result=Further.
Ask 62499 62499, Result=Closer.
Ask 62500 62499, Result=Further.
Ask 62500 62500, Result=Further.
Ask 31249 31249, Result=Closer.
Ask 31250 31249, Result=Further.
Ask 31250 31250, Result=Further.
Ask 15624 15624, Result=Closer.
Ask 15625 15624, Result=Further.
Ask 15625 15625, Result=Further.
Ask 7811 7811, Result=Closer.
Ask 7812 7811, Result=Further.
Ask 7812 7812, Result=Further.
Ask 3905 3905, Result=Closer.
Ask 3906 3905, Result=Further.
Ask 3906 3906, Result=Further.
Ask 1952 1952, Result=Closer.
Ask 1953 1952, Result=Further.
Ask 1953 1953, Result=Further.
Ask 975 975, Result=Closer.
Ask 976 975, Result=Further.
Ask 976 976, Result=Further.
Ask 487 487, Result=Closer.
Ask 488 487, Result=Closer.
Ask 488 488, Result=Further.
Ask 731 243, Result=Closer.
Ask 732 243, Result=Further.
Ask 732 244, Result=Further.
Ask 609 121, Result=Closer.
Ask 610 121, Result=Further.
Ask 610 122, Result=Closer.
Ask 548 182, Result=Closer.
Ask 549 182, Result=Closer.
Ask 549 183, Result=Closer.
Ask 578 212, Result=Closer.
Ask 579 212, Result=Further.
Ask 579 213, Result=Closer.
Ask 563 227, Result=Closer.
Ask 564 227, Result=Closer.
Ask 564 228, Result=Closer.
Ask 570 235, Result=Closer.
Ask 571 235, Result=Further.
Ask 571 236, Result=Closer.
Ask 566 239, Result=Found.
